id,section,stereotype,name,description
OA-21,Operational Activities,OperationalActivity,Set the defended-asset list and priorities,"Define protected assets, priorities, and warning obligations."
OA-22,Operational Activities,OperationalActivity,Plan the laydown,Place sensors and effectors; compute coverage and gaps over terrain.
OA-23,Operational Activities,OperationalActivity,Configure policy,"Set identification criteria, weapons control status, authorities, restrictions as geofences, delegations."
OA-24,Operational Activities,OperationalActivity,Validate and apply the plan,Validate a configuration baseline; apply it with audit.
OA-25,Operational Activities,OperationalActivity,Rehearse,Replay a scenario through the pipeline under a plan; review recommendations and gaps.
OA-26,Operational Activities,OperationalActivity,Review after action,"Review the journal, measure, record lessons."
OA-27,Operational Activities,OperationalActivity,Operate disconnected,Fall back to embedded services; keep journaling; queue for forwarding; act under pre-delegated authority.
OA-28,Operational Activities,OperationalActivity,Reconcile journals,Forward the queue; merge local and node journals; report conflicts.
OA-29,Operational Activities,OperationalActivity,Resolve conflicts,Resolve reported decision conflicts under the arbitration rule; update the record.
OA-30,Operational Activities,OperationalActivity,Recommend a fires task,"Propose a fires task with target location and uncertainty, time window, and deconfliction."
OA-31,Operational Activities,OperationalActivity,Manage the decision queue,Order pending decisions by priority and time remaining; apply delegation; escalate; time out.
OA-32,Operational Activities,OperationalActivity,Assist with questions and drafts,Answer questions about the picture and draft products with provenance and no authority.
OA-33,Operational Activities,OperationalActivity,Govern algorithm and model baselines,"Validate, promote, and roll back the algorithm and model configuration in force."
OA-34,Operational Activities,OperationalActivity,Authenticate and authorize,Establish who a caller is and what their role permits before any action.
OA-35,Operational Activities,OperationalActivity,Audit,"Record every decision, configuration change, promotion, tasking, and assistant exchange append-only."
OA-36,Operational Activities,OperationalActivity,Exchange cooperative identity,"Receive IFF, ADS-B, AIS, and blue-force identity and attach it as evidence."
SV-01,Services,Service,Tracking,"Detections in, tracks with quality out; health honest (pipeline not implemented)."
SV-02,Services,Service,Intercept planning,"Tracks and resources in, a PlanView out; last-good-plan on over-budget solves (allocator not implemented)."
SV-03,Services,Service,Event bus,Broadcast publish and subscribe with sequence-stamped envelopes.
SV-04,Services,Service,Event journal,Append-only JSON-lines session journal; read back for replay; retention.
SV-05,Services,Service,Time authority,Wall and replay clocks; source versus receipt time; late-data policy.
SV-06,Services,Service,Configuration store,"Load, validate, and save versioned configuration baselines."
SV-07,Services,Service,Mission lifecycle,"Create, live, save, load, replay, close a session."
SV-08,Services,Service,Ingest gateway,"Adapters behind a validating, authenticating, quarantining gateway (SourceAuthenticator, IngestGateway)."
SV-09,Services,Service,Sensor registry,"Sensor records, modes with a transition table, coverage regions."
SV-10,Services,Service,Interop catalogue and codecs,Schema catalogue with version negotiation; Arrow form; ASTERIX and STANAG codecs (NotImplemented).
SV-11,Services,Service,Identity resolution,Global entity identity across session tracks with merge and split lineage.
SV-12,Services,Service,Identification,"Evidence fusion to friend, hostile, neutral, unknown with a margin rule."
SV-13,Services,Service,Geospatial,"Geofence containment, map layers, coordinate reference governance."
SV-14,Services,Service,Analytics,"Line of sight, viewshed, coverage volumes, route deconfliction over terrain."
SV-15,Services,Service,Policy,Geofence and readiness verdicts through a chain that never self-approves.
SV-16,Services,Service,Approval workflow,Pending approvals and decision records; nothing actionable without one.
SV-17,Services,Service,Threat assessment,Risk scores and the reward matrix for the allocator.
SV-18,Services,Service,Decision support,Rationale (real); alternatives and what-if (trait surface).
SV-19,Services,Service,Model registry,"Validate, promote, roll back algorithm baselines."
SV-20,Services,Service,Authentication,Credential to OperatorId (trait only; mechanism D-02).
SV-21,Services,Service,Authorization,Role-to-action matrix; unknown operators permitted nothing.
SV-22,Services,Service,Audit log,Append-only audit entries per gated action.
SV-23,Services,Service,API v1,"Snapshot, event stream, detection submission, plan decision, health; transport pending."
SV-24,Services,Service,Health monitor,Health snapshot from service flags; alert correlation; watchdog.
SV-25,Services,Service,Store-and-forward and reconciliation,Bounded queue while disconnected; journal merge with conflict reporting.
SV-26,Services,Service,Shared picture and arbitration,Apply node envelopes to a projection; role-rank arbitration of conflicts.
SV-27,Services,Service,Operator workflow,Role workspace layouts; alert lifecycle; cases and annotations.
SV-28,Services,Service,Replay,Deterministic playback of a journal under the replay clock.
SV-29,Services,Service,Reporting,Reports and exports with every figure traceable to the journal.
SV-30,Services,Service,Remote backends,RemoteTrackingService and RemoteInterceptService over the API with an outbox; transport pending.
SV-31,Services,Service,Data loading,"Point cloud, VTK, terrain, glTF loaders off the UI thread (surface only)."
SV-32,Services,Service,Point-cloud fusion,CPU reference and GPU ICP registration (trait surface).
SV-33,Services,Service,Tracking metrics,"MOTA, MOTP, purity, fragmentation against truth."
SV-34,Services,Service,Scenario generation,The five engineering scenarios with truth.
RS-allocation,Resources,ResourceArtifact,gungnir-allocation,Bellman/DP resource-to-track assignment.
RS-analytics,Resources,ResourceArtifact,gungnir-analytics,"Advanced 3D analytical functions -- line-of-sight, viewshed, sensor-coverage volumes, terrain masking, route deconfliction -- as standalone CPU services rendered by gungnir-viewport3d rather than embedded in it. docs/gungnir-capabilities.md \u00a75.3 -- Medium."
RS-api,Resources,ResourceArtifact,gungnir-api,"Versioned, security-gated external contract (v1: snapshot, event stream, detection submit, plan decision) so remote desktops, peer C2 systems, analytics tools, or enterprise data services can integrate with a service node. Transport-neutral types here; the HTTP/JSON + WebSocket transport is the next stack addition. docs/gungnir-capabilities.md \u00a75.5 -- High."
RS-app,Resources,ResourceArtifact,gungnir-app,"eframe desktop binary: bootstrap + AppState + update loop. The one crate allowed to depend on everything. Intentionally thin -- wiring, not logic, per rust-ui-architecture-coding-standards.md \u00a71. Selects the embedded or remote services backend from gungnir-config (ARCHITECTURE.md \u00a78) and runs eframe with Renderer::Glow so three-d has a GL context."
RS-assessment,Resources,ResourceArtifact,gungnir-assessment,"Threat/risk scoring, predicted time-to-impact, asset exposure, confidence-aware prioritization feeding the allocation decision's reward matrix. docs/gungnir-capabilities.md \u00a75.4 -- Medium."
RS-association,Resources,ResourceArtifact,gungnir-association,"NN/GNN, Hungarian/JV, gating, JPDA, MHT."
RS-collab,Resources,ResourceArtifact,gungnir-collab,"Collaboration & multi-user concurrency: shared operational picture across desktops connected to one node, concurrent annotations, and authority conflict resolution between operators' decisions. docs/gungnir-capabilities.md \u00a75.6 -- Medium. Server-authoritative mission state lives on the node (ARCHITECTURE.md \u00a78)."
RS-command,Resources,ResourceArtifact,gungnir-command,"Human-approval workflow sitting on top of gungnir-policy's verdicts -- the operator-facing accept/override/reject boundary for an intercept plan, with every decision recorded. docs/gungnir-capabilities.md \u00a75.4 -- Critical. Human-owned changes. Pairs with gungnir-policy."
RS-config,Resources,ResourceArtifact,gungnir-config,"Managed, versioned, validated configuration for sensor definitions, filter/association selection, thresholds, allocation weights, backend selection (embedded or remote), and service-node settings. docs/gungnir-capabilities.md \u00a75.1 -- High. Pairs with gungnir-mission."
RS-coord,Resources,ResourceArtifact,gungnir-coord,ECEF/ENU/NED/geodetic coordinate frame transforms.
RS-core,Resources,ResourceArtifact,gungnir-core,"CV/CA/CT motion models -- F/Q generation (exact-match closed-form oracle only) -- plus the identifier, lifecycle-status, and PSD-assertion primitives every higher crate shares (docs/agentic-coding-standards.md \u00a71.2, \u00a72.1)."
RS-data-fusion,Resources,ResourceArtifact,gungnir-data-fusion,"GPU-accelerated point cloud registration/fusion (point-to-plane ICP) on wgpu compute, per rust-3d-data-ecosystem-build-vs-adopt.md \u00a73. The one genuine ecosystem gap identified -- kept as its own crate, separate from gungnir-data, because it's the only data-layer crate that needs a wgpu::Device (borrowed from gungnir-render)."
RS-data,Resources,ResourceArtifact,gungnir-data,"File I/O for point cloud / VTK scientific mesh / terrain / glTF, per rust-3d-data-ecosystem-build-vs-adopt.md \u00a71. No egui/three-d/wgpu dependency -- unit-testable with plain cargo test."
RS-decision,Resources,ResourceArtifact,gungnir-decision,"Course-of-action generation and comparison, constraint handling, what-if simulation against a live snapshot, and recommendation explanations -- beyond single-solution DP allocation. docs/gungnir-capabilities.md \u00a75.4 -- Medium."
RS-eventing,Resources,ResourceArtifact,gungnir-eventing,Transport-neutral broadcast event bus (in-process today; a durable/replayable log or network stream behind the same trait later). docs/gungnir-capabilities.md \u00a75.1 -- High. Replaces the UI polling a mutable slice every frame.
RS-filters,Resources,ResourceArtifact,gungnir-filters,KF/EKF/UKF/PF/IMM/sqrt-UDU/RTS state estimation.
RS-fusion-async,Resources,ResourceArtifact,gungnir-fusion-async,OOS handling / multi-rate async fusion pipeline. The only crate that uses the tokio runtime; the runtime is owned by the host binary.
RS-fuzz,Resources,ResourceArtifact,gungnir-fuzz,
RS-geo,Resources,ResourceArtifact,gungnir-geo,"Coordinate-reference-system governance, map/imagery layers, geocoding, vector features, spatial indexing, and geofencing. docs/gungnir-capabilities.md \u00a75.3 -- Medium."
RS-identification,Resources,ResourceArtifact,gungnir-identification,Friend/foe/unknown track classification from an evidence-fusion process. gungnir-capabilities.md \u00a75.3 -- Medium.
RS-identity,Resources,ResourceArtifact,gungnir-identity,"Persistent global track/entity identity across feeds -- aliases, merge/split history, supersession -- beyond the tracking core's internal track IDs. docs/gungnir-capabilities.md \u00a75.3 -- High."
RS-ingest,Resources,ResourceArtifact,gungnir-ingest,"Protocol-specific adapters plus a validation/authentication/quarantine gateway that normalizes live, recorded, and simulated sources into the canonical DetectionView before anything reaches the Tracking Service. docs/gungnir-capabilities.md \u00a75.2 -- Critical. Gateway changes are human-owned."
RS-intercept-service,Resources,ResourceArtifact,gungnir-intercept-service,App-facing facade over gungnir-allocation + gungnir-coord: turns current tracks + available resources into an intercept/tasking plan (gungnir-model PlanView). Kept separate from gungnir-tracking-service because it answers 'what should we do' rather than 'where are they' -- see ARCHITECTURE.md \u00a72.
RS-interop,Resources,ResourceArtifact,gungnir-interop,"Data standards & interoperability: the schema catalog with version negotiation, the Arrow representation of detections, and the ASTERIX/STANAG codec boundary that gungnir-ingest adapters and gungnir-reporting exports use. docs/gungnir-capabilities.md \u00a75.6 and \u00a71 (interop schema row) -- Medium."
RS-metrics,Resources,ResourceArtifact,gungnir-metrics,"MOTA/MOTP, purity/fragmentation, track-to-truth assignment."
RS-mission,Resources,ResourceArtifact,gungnir-mission,"Mission/session lifecycle: create/load/save/replay/close, plus scenario binding. gungnir-capabilities.md \u00a75.1 -- High. Pairs with gungnir-config."
RS-ml,Resources,ResourceArtifact,gungnir-ml,"The model and feature-extractor traits learned models are held to, a fake model for the consumers' tests, and the dataset extraction from test-track sets into the Arrow form docs/ml/data-pipeline.md documents (GAP-077, GAP-079). OnnxModel, the ort-backed real Model, is real compiling code behind the onnx-runtime feature (off by default: agentic-coding-standards.md \u00a72.9, D-40) -- ort 2.0.0-rc.13's load-dynamic path panics rather than erroring when no compatible ONNX Runtime library is reachable, so it must not run inside default `cargo test`. ModelSet::load reports which named models are unavailable rather than pretending."
RS-model,Resources,ResourceArtifact,gungnir-model,"Canonical, versioned operational data model -- TrackView/DetectionView/ResourceView/PlanView and friends, with provenance, quality, identity, timestamps, and classification as first-class fields. Foundational/Critical per docs/gungnir-capabilities.md \u00a75.1 -- the service facades and every productization crate build on this one."
RS-modelops,Resources,ResourceArtifact,gungnir-modelops,"Registry for selecting, tuning, comparing, validating, promoting, and rolling back filter/association configurations by mission profile, and (GAP-078) the model artefact -- name, version, hash, evaluation record -- a baseline optionally carries alongside its tracking configuration through the same promotion state machine. gungnir-capabilities.md \u00a75.4 -- Medium."
RS-node,Resources,ResourceArtifact,gungnir-node,"Headless service-node binary for the on-prem and cloud profiles (ARCHITECTURE.md \u00a78.1): hosts the services layer and the authoritative gungnir-store journal behind gungnir-api. Targets Linux x86_64 containers; depends on no UI, three-d, or wgpu crate."
RS-observability,Resources,ResourceArtifact,gungnir-observability,"Production-facing metrics, structured logs, distributed traces, health checks, watchdogs, and alert correlation -- extends the developer-facing tracing instrumentation into an operator-facing system-status capability. gungnir-capabilities.md \u00a75.5 -- High."
RS-oracle,Resources,ResourceArtifact,gungnir-oracle,Differential-test harness against Python/MATLAB oracles. Depends on everything; nothing depends on it.
RS-policy,Resources,ResourceArtifact,gungnir-policy,"Authority model, geofence/no-go enforcement, and policy evaluation sitting in front of the Intercept Planning Service's output. docs/gungnir-capabilities.md \u00a75.4 -- Critical. Human-owned changes (agentic-workflow.md). Pairs with gungnir-command."
RS-remote,Resources,ResourceArtifact,gungnir-remote,"Remote implementations of the TrackingService and InterceptService traits that talk to a gungnir-node over gungnir-api, so the desktop switches between the embedded and connected profiles without any UI change (ARCHITECTURE.md \u00a78.2). Store-and-forward while disconnected."
RS-render,Resources,ResourceArtifact,gungnir-render,"Shared wgpu device/queue/surface management + egui<->wgpu render pass wiring, per rust-ui-architecture-coding-standards.md \u00a71. No tracking-domain knowledge."
RS-replay,Resources,ResourceArtifact,gungnir-replay,"Deterministic session playback, timeline scrubbing, and recorded-data replay -- reads gungnir-store's event journal through a gungnir-time ReplayClockAuthority. docs/gungnir-capabilities.md \u00a75.6 -- Lower."
RS-reporting,Resources,ResourceArtifact,gungnir-reporting,Mission reports and export packages with provenance preserved: every figure traces back to the recorded event journal it was computed from. docs/gungnir-capabilities.md \u00a75.6 -- Lower.
RS-resilience,Resources,ResourceArtifact,gungnir-resilience,"Resilience & disconnected operations: store-and-forward of envelopes while a node is unreachable, checkpoints, and journal reconciliation after the link returns (ARCHITECTURE.md \u00a78.4). docs/gungnir-capabilities.md \u00a75.6 -- Medium."
RS-rfs,Resources,ResourceArtifact,gungnir-rfs,"PHD/CPHD, GLMB/LMB random finite set filters."
RS-scenario,Resources,ResourceArtifact,gungnir-scenario,"Ground-truth + sensor simulation, five-scenario generator. Test/bench dependency only -- never a normal dependency of a production crate."
RS-security,Resources,ResourceArtifact,gungnir-security,"Authentication, role/attribute-based authorization, encryption in transit and at rest, secrets/key management, signed binaries and configuration, audit logging. gungnir-capabilities.md \u00a75.5 -- Critical."
RS-sensor-management,Resources,ResourceArtifact,gungnir-sensor-management,"Sensor registry (identity, modality, location, calibration version, operating state) plus tasking, mode management, and coverage planning. docs/gungnir-capabilities.md \u00a75.2 -- High."
RS-store,Resources,ResourceArtifact,gungnir-store,"Durable storage for mission sessions (an append-only JSON-lines event journal), replay artifacts, configuration baselines, and audit logs, with an explicit retention/deletion policy. docs/gungnir-capabilities.md \u00a75.1 -- High."
RS-testkit,Resources,ResourceArtifact,gungnir-testkit,Shared proptest strategies for the tracking core. Depends on no workspace crate (so it can be a dev-dependency of every one of them without a dev-dependency cycle); nothing depends on it at runtime.
RS-time,Resources,ResourceArtifact,gungnir-time,"Clock discipline across sensors: source-time vs. receipt-time semantics, late-data policy, deterministic replay-time control, synchronization health. docs/gungnir-capabilities.md \u00a75.2 -- Critical."
RS-track-fusion,Resources,ResourceArtifact,gungnir-track-fusion,"Track-to-track fusion (CI/info-matrix), sensor registration/bias."
RS-track,Resources,ResourceArtifact,gungnir-track,Track lifecycle: init/confirm/coast/delete.
RS-tracking-service,Resources,ResourceArtifact,gungnir-tracking-service,"App-facing facade over the tracking/estimation core. Owns the IMM bank, associator, track manager, and async multi-rate/OOS fusion pipeline behind one trait, and projects the core's kinematic Track into the canonical gungnir-model TrackView. See ARCHITECTURE.md \u00a72."
RS-ui,Resources,ResourceArtifact,gungnir-ui,"2D egui dashboard panels + centralized theme, per rust-ui-architecture-coding-standards.md \u00a71/\u00a76. One file per panel; no magic layout numbers. Reads gungnir-model views only; holds no state of its own."
RS-viewport3d,Resources,ResourceArtifact,gungnir-viewport3d,"three-d scene setup, camera, streaming/scientific data bridges, and live track/intercept rendering, drawn into eframe's OpenGL (glow) context. Combines rust-3d-data-ecosystem-build-vs-adopt.md \u00a72 with gungnir-model views -- see ARCHITECTURE.md \u00a74-5 for why track rendering lives here rather than in a translation crate."
RS-workflow,Resources,ResourceArtifact,gungnir-workflow,"Human factors & operator workflow: role-based workspace layouts, the alert acknowledgement/escalation lifecycle, annotations and cases -- turning a set of panels into a designed operator workflow. docs/gungnir-capabilities.md \u00a75.6 -- Medium."
PT-01,Personnel Types,PersonType,Operator,
PT-02,Personnel Types,PersonType,Supervisor,
PT-03,Personnel Types,PersonType,Analyst,
PT-04,Personnel Types,PersonType,Sensor manager,
PT-05,Personnel Types,PersonType,Administrator,
PT-06,Personnel Types,PersonType,Intelligence analyst,
PT-07,Personnel Types,PersonType,Planner,
PT-08,Personnel Types,PersonType,Commander,
SD-01,Standards,Standard,Gungnir canonical schema v1,The versioned JSON form of every view and event; the journal and the API carry it.
SD-02,Standards,Standard,Apache Arrow (arrow 53),Columnar form of detections for analytics and bulk exchange.
SD-03,Standards,Standard,ASTERIX Category 048 (Eurocontrol),Radar target reports; codec returns NotImplemented (GAP-064).
SD-04,Standards,Standard,STANAG 4676 (NATO ISR tracking standard),Track exchange with coalition; codec returns NotImplemented (GAP-064).
SD-05,Standards,Standard,JSON (RFC 8259),"Serialization of configuration, journal lines, and API payloads."
SD-06,Standards,Standard,HTTP/1.1 (RFC 9112),Request and response transport for the API (GAP-041).
SD-07,Standards,Standard,WebSocket (RFC 6455),The API event stream (GAP-041).
SD-08,Standards,Standard,TLS 1.3 (RFC 8446),Encryption in transit and mutual authentication of machines (GAP-060).
SD-09,Standards,Standard,AIS (ITU-R M.1371),Cooperative maritime identity (GAP-010).
SD-10,Standards,Standard,ADS-B 1090 ES (RTCA DO-260B),Cooperative air identity (GAP-010).
SD-11,Standards,Standard,UUID version 7 (RFC 9562),Textual and time-ordered form of GlobalEntityId (GAP-069).
SD-12,Standards,Standard,OCI container image,Packaging of the service node for Linux x86_64.
SD-13,Standards,Standard,Software bill of materials (CycloneDX JSON) and signed releases,Release evidence per docs/release-governance.md; exercised under GAP-061.
SD-14,Standards,Standard,UAF 1.2 (OMG),The framework these views follow.
SD-15,Standards,Standard,TOGAF 10 ADM,The method plan 10 follows; references these views.
SD-16,Standards,Standard,Cursor-on-Target (CoT),"Exchange with a participant that holds no machine identity here; no codec and no sink exist (GAP-090, GAP-091)."
PJ-I1,Projects,Project,Increment 1,Productize the core
PJ-I2,Projects,Project,Increment 2,Integrate real data
PJ-I3,Projects,Project,Increment 3,Close the decision-support loop
PJ-I4,Projects,Project,Increment 4,Operationalize and scale
PJ-P01,Projects,Project,Plan 01 product business plan,
PJ-P02,Projects,Project,Plan 02 mission analysis,
PJ-P03,Projects,Project,Plan 03 UAF views,
PJ-P04,Projects,Project,Plan 04 mission capabilities,
